,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66
SW1088,1.6748657,1.6982428,3.445365,0.42311856,-0.38196677,0.6958579,0.6565183,4.1228867,0.4539091,-2.9097326,0.837722,-1.4983265,-1.2772605,-2.1731017,0.7962528,2.0774097,0.30136156,-2.3237095,2.0444183,2.279589,-1.1257915,1.2181349,3.6925135,-2.0646272,-1.5646832,-0.9138262,-2.7089949,0.8860706,1.8356436,1.2972885,1.1684768,-1.1812855,1.3259982,-1.0475876,4.097766,0.36954227,2.7455523,2.0888793,-1.0269436,0.8744199,-3.766123,0.12246866,0.86509037,3.6202624,-1.7343624,-0.5053413,0.07237592,-0.54837525,1.1889172,-3.1822412,2.8846483,-1.0875868,1.3027219,4.7725096,0.35354483,-0.86867,-0.3279191,-2.1422412,2.2665832,2.0595849,-0.34213385,0.65299743,0.47438115,-1.2682006,-1.759624,1.561147,0.4312865
HSC-4,-0.26434234,0.036817126,3.547838,-0.7417756,-2.1432972,-1.7987635,-1.2905796,-0.8174089,-2.5559707,-0.90948814,2.1028268,-1.8806214,-1.312146,0.78722113,1.9656539,1.6259283,-1.1651528,-0.8277252,0.8597898,-0.85274637,-0.3605824,-0.7880234,-1.0619434,-0.91304696,0.91506714,0.25215828,0.12866442,-2.6364274,-3.6081583,-1.7518864,0.26390314,-1.4923241,1.1852324,1.8242661,-0.06740445,-0.109767795,1.1441562,-0.2998153,1.3845036,0.5692763,2.769996,-0.09433444,-2.4348845,1.9602919,-0.2817585,-0.8268925,-1.3099105,-1.7022703,-0.64048374,-1.3178513,1.5013844,-1.6880958,-0.5622185,-0.20909825,0.14740995,1.9042679,0.19417897,-2.3493776,-1.3173323,1.182741,-1.2446249,0.68092275,-1.0926647,0.23377717,1.1247776,0.6317963,2.0402148
MOLP-8,-0.3328557,-0.8993225,-1.4449208,-0.83985823,0.37997174,-1.5050529,0.36463633,-0.61939853,-0.20560662,1.7053676,-0.138813,-0.2569473,0.46871203,0.5380892,-0.5898598,-0.35164124,-0.75917786,-0.027798563,-0.5583338,-0.937994,0.080420375,1.0163563,0.016521372,-0.2741074,0.68657494,0.7441448,1.4878156,-0.5562187,-0.59813434,0.57398534,0.13588846,0.18981197,-0.92090416,-0.24366143,-1.7450007,-0.35364202,0.30041575,-0.73527825,-0.3178362,-0.9613312,1.6845379,0.16637096,-0.5779862,-1.5930583,0.13267374,0.79027283,-0.089697056,-0.84096646,-0.65766037,-0.045012414,-0.8269011,0.14643058,-0.7015867,-1.2584517,-0.22628483,-0.7768195,-0.03371054,0.19815588,-0.22134326,-1.2304844,-0.29062018,-0.6462088,0.263389,-0.25174126,0.80193335,-1.269947,-0.89177966
COLO 678,2.286646,0.5260191,-0.6523583,0.52434254,-1.1014822,0.6309415,1.2772492,0.92581904,0.042502902,-2.2212715,-0.40031135,0.845506,-0.12924019,-1.0097024,2.0786998,0.113512054,0.667256,-0.20416518,-0.81066096,1.2006,1.6558483,-0.16559929,0.8985522,2.1656058,0.45756006,-0.39396313,-1.3780473,-0.5675073,2.3492265,0.9009172,2.1573403,0.4844384,0.8992851,0.7997711,0.7425045,-1.3971094,0.68779427,0.8563642,-2.1706815,-1.6169779,-2.0899756,-0.087487586,-0.26346254,1.009667,-1.3548353,-2.3545237,-0.12195659,0.02771521,0.5011437,-2.5782018,0.7981361,-0.14503,1.3781549,0.42804372,1.3408636,0.16210505,-0.10134493,0.0912551,-0.052454703,2.378982,-0.9335114,1.6838329,0.18630266,0.088150375,0.6299829,0.93863654,0.44534612
COLO 792,-1.3798764,0.8038136,-0.42433465,-0.93498516,-1.2686529,-0.9372899,-0.46088296,-0.49786422,-0.43458858,1.0309229,0.26665914,0.10793914,0.5795328,0.42727485,0.14330979,0.026756521,0.034431957,1.097493,0.40960997,-0.567411,-0.42354488,-0.29597303,-0.59546477,0.25971985,0.090513825,1.3414744,0.30824158,-0.618029,-1.1608665,0.24765038,0.25928617,-0.834579,-0.37067136,0.47192836,0.23175198,0.5515474,-0.090345815,-1.2886648,0.7205041,-0.13046607,1.0552628,-0.36052042,-0.7248221,-0.3087772,-0.378352,0.7684163,-0.8135166,-0.2782993,-0.36580658,-0.054257795,0.15124492,-0.1228937,0.321953,-0.873665,-0.46349004,0.6001456,0.7250904,-0.5775576,-0.5895006,0.18738952,-0.1270808,-0.264962,-0.972633,-0.47850168,0.70593816,0.16029184,0.21846305
SKM-1,-0.49854666,-4.5475287,3.0664978,0.79782933,-0.2084069,4.654171,-1.9273263,2.7773852,1.4106138,1.0141802,-2.3417463,-1.0445447,0.16762903,0.20005733,1.8124902,0.9522131,2.7769902,-0.80599904,-1.174256,-1.0851343,-1.5806239,0.018499244,0.061363943,-0.7504026,3.7270634,0.12203289,1.1210202,-2.723731,0.7481533,-1.2691607,-1.4820199,2.8528612,-0.96520436,-1.3648187,1.3593329,0.39969352,-0.068701684,0.3238678,0.09718412,2.0328763,0.2725163,-0.035883024,0.550769,1.87649,-2.9227192,0.03529469,3.7791955,1.1451206,5.4142017,-1.0103353,0.46868673,1.5554549,-0.9201239,0.72552717,0.3045678,0.9372174,-1.2546226,0.0017733779,2.366301,-0.7137897,1.3577853,-0.7733898,1.855974,0.5194384,-4.5783873,-0.5488133,-1.9560103
RERF-LC-Ad1,1.4863251,0.76435226,1.014916,0.6628382,0.09910665,1.6133438,0.086213395,1.2739503,-0.30431607,-1.0449315,0.2432862,0.37016743,-0.5053191,-1.3546828,1.2466716,-0.19662067,0.41230834,-0.06737204,-1.3203362,-0.04341346,0.6796973,-0.89606464,1.0577532,0.00035631657,0.8471741,-0.17268078,-0.42669818,-2.3686156,0.5922534,0.49608326,0.19188324,0.5603586,0.47600102,-0.25636473,2.6971219,0.7086152,0.8695812,1.5634471,-1.7549908,-0.13437906,-2.6552072,-0.62301147,1.2304096,0.21327795,-0.7890733,-1.2945977,-0.37648588,1.1294801,1.8321118,-0.99791366,-0.38474452,0.39844286,-0.9579837,1.403986,-0.098282635,-0.65621895,-0.6062798,1.0914279,1.1139331,1.1408861,-0.6838291,-0.2667421,0.3135192,-1.2544694,-1.1408175,0.8764571,1.3022637
Hs 698.T,-0.92913806,0.7238278,-0.51184124,-0.9482667,-1.2451345,-0.98396397,-0.50795287,-0.5541702,-0.47984222,0.5249257,0.31571108,-0.24235192,0.401488,0.42464924,-0.020570204,-0.18195377,-0.020049373,1.086341,-0.07751754,-0.6959118,-0.24189842,-0.4671001,-0.36974755,0.458669,0.11337134,1.2127265,0.37188914,-0.64084256,-1.1223439,-0.76903707,0.21952355,-0.7202761,-0.3400796,0.84542626,-0.64917994,0.47182226,-0.10698837,-1.2454579,0.55919003,0.052793905,1.1772821,-0.4341162,-0.639381,-0.26811022,-0.3487093,0.8586071,-0.2274617,-0.33119282,-0.2981458,0.12905665,-0.016083859,0.23110795,0.25785232,-0.83989024,-0.4319551,0.5690156,0.6684557,-0.5737016,-0.27010262,0.20041703,-0.050427254,-0.18313336,0.081790745,0.062243387,0.74203485,-0.031587467,0.39683664
MES-SA,0.44029924,-0.54305637,1.20332,2.9069817,2.772996,0.57308334,0.22941689,-0.19067797,0.13805714,-0.6199317,1.7589096,-0.60055685,-2.5639958,1.1482191,-0.86716896,0.4319887,-0.7360369,-2.5440807,0.80985034,1.1266713,-1.720514,2.2057686,1.2832391,-1.8321877,-1.466536,-2.9837065,1.9724308,2.3797817,-1.1797141,2.5842793,-1.9476193,-1.5710598,-0.23159613,0.38964263,0.62501734,-0.89470613,0.24967796,1.5263709,0.02791661,2.18598,-1.1799259,1.5083531,0.20926386,0.82303226,-2.1266966,-0.14494438,3.317441,-1.246914,-0.43046817,2.2516978,-2.4729896,-2.1573608,-0.4659236,2.4440825,0.6688367,-0.9042245,-0.96543443,-1.0564433,-0.37267864,-0.1209463,-1.4005414,0.16586067,0.2460469,1.5721966,-4.065131,-0.4781106,-3.1436994
NCI-H2081,-2.4041114,-1.3101547,-0.37062982,0.5549592,1.270427,0.32227135,-1.8522415,0.35248145,2.3135612,2.2443917,-1.2108277,1.9395204,-2.0802648,0.060200155,-0.8316221,-1.5615056,1.5439916,1.6590661,-0.3518913,-1.2596896,3.241932,-1.6683764,-0.25093552,-1.0380001,1.3433357,1.3150731,0.2342639,0.60106456,0.7417495,-0.4951556,-2.182815,0.44129723,0.84428024,0.20449843,1.1138244,-2.4170637,-2.7461224,0.6740594,-2.5510209,-0.044439204,-0.27977523,0.10503296,-0.25827807,-0.43880287,1.3435246,0.66354823,2.6726608,4.942841,-1.2849199,1.1144236,-1.3157448,-0.39743328,0.2006276,-1.9816478,0.4071333,-1.8093992,-2.094112,1.7795484,0.3620557,-3.2966146,0.71881247,1.2164384,1.5026271,1.1400882,1.7105463,-1.7315319,-3.700403
OCI-M1,2.3191335,-1.6710474,-0.38851961,2.802903,1.9590206,0.4626599,2.1909938,-0.33311284,-0.25791168,0.7751399,1.2549535,-0.90574884,0.10046399,-0.18782972,2.065771,-2.608355,-2.6417062,-1.3459184,-1.2065414,-0.23766783,0.6832098,-1.5075669,-2.2074208,-1.9385891,0.5277474,-2.1339326,1.6858139,-1.4639263,1.0387155,-0.6885501,-2.0754602,1.641698,-1.543523,-0.42501175,-1.4743977,-0.5596507,-0.040477816,0.4816491,-0.68475986,0.66709566,0.30755198,0.7661119,1.6396409,-3.6166353,-0.040831342,-1.0938032,2.4689267,-0.70454174,-0.24555391,1.8042493,1.2571913,-0.95145386,-0.4111525,-0.47884396,-1.6110528,-2.3470514,-0.9785637,2.6048806,1.598145,-1.927635,2.090922,2.348967,0.7684129,2.3407617,-1.2799906,-0.9082729,-1.3026736
SK-N-FI,-0.8946465,-0.15367223,-0.030297622,-0.66616726,-1.7935381,-1.9925768,-1.14281,-0.5910923,-1.5379996,-0.2728617,0.45027623,-0.021549799,-0.39932993,0.9960138,1.0881622,0.50141317,0.0030454397,0.87684494,-0.18244448,0.13079154,-0.062384523,-0.94024867,-0.58263683,0.8116472,1.7595758,0.1976126,0.5093662,-0.9161744,-0.4813702,-0.67489487,-0.32549614,0.1894707,0.15314218,0.7882961,-0.81369835,0.20723549,-0.5904907,-1.6312529,0.68042094,-0.4855773,1.779168,-0.26930705,-1.1582075,0.81019086,-0.40604013,-0.28569075,-0.64553577,-1.111072,0.31068665,0.68851805,-0.25291353,-1.2426897,-0.14204875,-1.3908405,1.7775214,1.2697842,0.5202948,-0.10693668,-1.7270627,0.42097557,-0.42586342,0.06042568,-0.65248215,0.41179314,1.1222076,0.58952135,1.1314168
SW948,-0.09319107,-0.69698566,1.5287067,-0.49682492,0.81405646,1.7915952,1.87775,2.2609835,0.6537275,-1.5360104,0.43708873,0.5796833,0.11065383,-1.3046887,-1.5116729,1.1734449,0.6631182,-1.0682317,0.18770748,0.46438253,0.047557056,0.66339326,-0.13489506,-0.75022274,0.44177815,-0.1684319,-1.9972789,1.5539355,0.9596056,-1.4884241,0.41821325,1.0691042,2.8972409,-1.3589027,1.3894225,0.4599176,-1.1666011,0.57845706,1.7957587,0.109158136,-1.8872309,1.0567131,2.1728244,1.2231122,1.2740483,0.85296774,-1.9600457,1.1476552,-0.8510406,-0.47812304,1.014745,1.8983477,-0.4440068,1.6363775,0.6544581,0.09428391,-0.3065443,2.4284515,0.69260687,-1.0191615,-0.92634076,-1.3870896,0.259316,-1.8417106,1.8066484,1.3032793,3.973586
GA-10,-0.647341,0.26834455,-0.8225668,-1.0948082,-0.7451955,-0.87751985,0.13071503,-0.47033495,-0.22503671,0.9520672,0.2467865,0.006347116,0.54224604,0.24040301,0.15058286,-0.23872279,-0.1719067,0.76559734,-0.28488052,-0.7515202,-0.12625664,0.10244217,-0.19750327,-0.060674258,0.25316742,1.052397,1.0916908,-0.8080229,-0.9323805,-0.3327729,0.3543812,-0.59526354,-0.38291675,0.45400703,-0.48404768,0.28323513,-0.30539656,-1.349101,0.1561974,-0.54128665,0.78789216,-0.18789813,-0.5981941,-0.62817746,-0.2623819,1.1823359,-0.27583978,-0.1267584,-0.4766574,0.5217202,-0.29664326,0.20292991,-0.14408408,-0.8385645,-0.2697166,-0.19353645,0.6063681,0.14016926,-0.21331823,-0.33965072,-0.7230834,-0.39614645,-0.30197448,-0.22851638,0.41924194,-0.6520183,-0.17605197
SJSA-1,0.2354824,-0.2633796,0.8564388,-0.11897401,-1.5640371,-0.68725884,-1.3884364,-0.8949025,-0.72845715,-0.37411296,-0.92548233,-0.41951483,1.5094302,-0.78915876,0.26921478,-1.5726509,-0.65477383,-0.2079444,0.93566495,-0.5142264,1.6655769,-0.31635654,0.13855407,-0.06852402,0.6250729,0.67518014,-0.8523046,-0.5018738,0.55629694,0.57661295,0.45011154,0.2012188,-1.3251231,0.24332133,-1.8633281,-0.509552,1.6436669,0.25079113,-1.6938096,-1.0035992,0.50462127,-0.18611659,0.28324643,-0.8960123,0.85094535,-0.708374,-0.90646344,-0.8028683,0.5933442,-0.3499287,0.3555852,0.64837706,0.028005525,-0.37530223,-0.2685082,-0.36751094,0.200346,-0.620941,0.68165034,0.7247789,0.1974107,0.18864927,-0.04360637,1.1565256,1.4196752,-1.8090916,-0.3432683
SNU-216,0.09775368,1.1033157,-1.4580487,-0.98548007,0.522371,-0.5693433,-1.0279534,-1.3579347,1.7954235,-0.44189644,-0.53992254,-0.62888014,0.24547939,1.2651696,-4.4356575,0.24857849,2.3828018,0.5931543,-1.1867667,-0.6655831,2.0464067,-2.2530677,0.8713534,1.7411646,-1.1772301,1.8037137,-0.23490019,1.3006483,1.279567,0.29321033,0.7435254,-1.8868124,0.11920142,0.2703894,1.4243913,-0.5517367,1.0594709,2.514607,-0.8584087,-0.41805816,-1.3675252,-0.7964206,0.36104998,-0.12092878,2.9692595,-1.2941443,-1.6720308,1.0873126,-0.8120746,0.9732502,-2.3279715,1.2186956,0.01036816,-0.38977978,-0.5545185,-2.0313888,0.7420524,-0.51449716,0.39094046,0.46720424,-0.3760255,0.28050053,1.3522165,-2.3168523,1.1327168,-0.08159879,-0.8724098
FTC-238,4.867878,1.6388007,2.6087995,2.0080996,0.63447636,2.135625,1.12119,1.2336423,-0.7340377,-3.5741608,3.3169024,-3.9083202,-3.0407474,-0.080221154,0.030905897,1.0708523,0.66002095,-3.8100967,1.1834816,2.245573,-0.4751941,-2.697065,2.2397008,-2.1936297,-1.8288789,-3.3246837,-0.2723898,0.32106072,1.4381903,0.98579586,0.08752202,-1.306872,0.019092932,1.0487732,5.055888,-0.8170809,3.1807492,3.6911435,-1.6274111,2.9725745,-2.3143637,0.9784754,1.0411007,2.6573415,-1.212507,-3.0740912,3.7933083,-2.1626885,0.7689028,-0.2007012,-0.24332945,-2.0882976,0.5248794,3.573239,-0.120960295,-3.511891,-0.85567856,-1.3259579,2.3767562,2.015647,-0.52468747,2.8575635,0.9004204,1.1015869,-5.6999693,0.5597266,-1.1395537
ACHN,-0.5690185,-5.3167157,5.715368,0.6893769,4.042096,4.351551,0.9084723,5.043555,1.6380423,-0.70414966,1.7052519,-1.8690976,0.66050696,-2.4080796,1.2561373,0.5023729,1.1519943,-3.6024957,-0.37057334,-0.65014195,-1.942132,-0.26585233,1.9145423,-3.4768906,4.3780193,-0.92538625,0.27523437,-0.45592797,3.3391669,1.4152832,-2.9482927,2.5355127,-1.3627763,-2.3640156,2.2881136,4.3767066,0.51380664,5.279722,2.1118345,1.696345,-0.72904736,-0.45308033,0.6695655,1.9801188,0.6236799,-1.2900274,3.60083,2.3148525,2.859208,0.5458039,2.4839952,-0.87861717,-2.4918673,5.342339,0.94777894,0.12047961,-2.048148,-0.738454,0.08739805,-4.308965,2.0642912,-0.41240048,3.3552132,-4.7007046,-0.32860172,0.6276845,1.9151628
SNU-449,-0.14437473,0.13802105,-1.7017074,1.125633,1.7651825,-1.3701146,-0.12920795,-2.0369358,0.017470736,1.3455119,-1.1968035,0.95737976,-0.5142725,2.1246195,-1.7911234,-0.54783756,-0.33411822,0.6056986,-0.8319013,0.8657073,-1.7764235,0.64736545,0.099760786,0.75229806,-0.59379613,-0.029346146,0.45440787,2.0946472,0.8178934,2.1424756,-2.836661,-1.5067086,-0.98022753,0.0019478723,0.1364055,0.6308323,-1.2082858,-1.3224775,1.1125787,0.061185446,-0.819587,0.40972814,0.47894192,-1.0555452,1.2577401,0.49910435,0.5240264,-0.64311343,0.33685094,3.7025056,-3.2253866,-1.0618743,0.2736531,-0.54971313,1.2345176,1.0594292,-0.13954231,0.68182254,-1.609298,-0.60139835,-0.20910402,-0.15878934,0.23648703,0.041484557,0.12612948,0.72021854,-1.4282008
TE-4,-0.9176988,0.6241908,-0.56490344,-0.8375905,-1.3323436,-0.9554621,-0.57000005,-0.5013776,-0.4875591,0.54384685,0.23146695,-0.2766314,0.55149305,0.4208973,0.23925866,-0.14476746,-0.008468013,1.1180732,-0.06080474,-0.48075086,-0.06456334,-0.38269615,-0.43187943,0.48078993,0.1860184,1.2007397,0.2500538,-0.6784391,-0.9830758,-0.20851853,0.19025059,-0.7974282,-0.30970562,0.7004284,-0.8423753,0.4303334,-0.17832139,-1.0986722,0.3719303,-0.055035435,1.2131808,-0.4490347,-0.6110506,-0.44022077,0.15157357,0.5270641,-0.47306702,-0.31392816,-0.27103814,0.07637858,-0.16824955,0.2234599,0.27030024,-0.9457995,-0.43134478,0.5213499,0.58419687,-0.45270756,-0.14645013,0.18982692,-0.0012291353,-0.1946221,-0.44114724,-0.10853798,0.993341,-0.6294043,0.36535054
JVM-3,-0.64016247,0.40645054,-0.49588552,-0.6173408,-1.2829235,-0.8843117,-0.8168263,-0.5769326,-0.39216074,0.87756956,0.12191934,-0.47335696,0.59918237,0.41423735,0.14885151,-0.23945367,-0.010531861,1.0014895,0.25727895,-0.5445376,-0.08695051,-0.5563962,-0.2261976,0.6156164,0.28545898,1.1925583,0.26751018,-0.60260594,-0.8157462,-0.08105329,0.070298724,-0.62026644,-0.30498576,0.47751004,-0.39250666,-0.04636976,-0.13150114,-1.1616951,0.23397383,0.049397476,1.0806158,-0.20846432,-0.37474507,-0.5148213,0.16485623,0.60131794,-0.3325196,-0.51568955,-0.08406494,0.3346295,-0.25019068,0.15128022,0.07410132,-0.9442066,-0.26934028,0.530099,0.54859567,-0.39246097,-0.21253088,0.5300909,0.046214286,-0.15682763,-0.46101597,0.05349271,0.34754685,0.039503664,0.15407968
NCI-H2141,-0.9769887,0.85170895,-0.45396394,-0.95680994,-1.3015203,-0.83501214,-0.5337731,-0.5385659,-0.45760816,0.5324738,0.32529324,-0.50453866,0.6442679,0.46927503,0.23062365,-0.13514319,-0.027101852,1.1070982,0.4380106,-0.64275414,-0.17195249,-0.3131116,-0.255281,0.4508475,0.007000696,1.266611,0.17233643,-0.70882815,-1.1521908,-0.49327356,0.2849326,-0.33252862,-0.34262225,0.7724329,-0.452353,0.42547926,-0.118719384,-1.2426014,0.57832086,0.01796928,1.201866,-0.47127807,-0.74249035,0.00028263032,-0.059344318,0.8381896,-0.18252863,-0.32592857,-0.29641736,0.35160965,0.26831406,-0.08103392,0.29504675,-0.8611617,-0.47846955,0.647188,0.6692588,-0.65652215,-0.31299174,0.16255231,-0.095830895,-0.16267554,-0.5072974,0.38970488,0.87728083,-0.008627951,0.4830372
SNU-886,0.6624952,1.1127013,-0.31944788,3.259975,2.0543585,-0.9823603,1.4445742,-1.3437719,-1.1583918,0.30008537,0.5815937,1.9692556,-1.4313685,0.8692238,0.527874,-0.8145951,-1.032856,-0.4327667,1.3719695,0.23778227,0.57453877,1.2668682,-0.07000363,-0.87853783,-1.8923029,-2.9460022,1.3395224,1.1496061,-0.33196607,1.5023186,-2.1809156,0.831708,-0.041695725,-1.1540322,-0.8993164,0.8209565,-0.8827,1.0636588,1.3469086,-0.76211053,-1.1196024,1.4757605,0.7764863,-3.563081,0.32260045,-1.5564749,-1.6015657,0.05548531,-2.3531938,0.8711261,-1.5425602,-1.9975157,-0.93578887,1.5009516,0.21062753,-1.0088372,-1.3706862,2.4044008,-1.6372476,-0.99302906,1.0209891,0.085288644,-0.2510493,0.3341701,0.59657526,-0.34497425,1.167329
NCI-H23,-0.57761836,1.8631407,-0.939229,-0.7060416,-0.89111775,0.52195317,-1.3030982,0.7045701,0.11918324,-1.717027,1.0975562,3.105628,-1.4522438,-1.944485,-1.337612,1.8144,1.297743,0.28664342,0.12433314,0.45392781,0.24664718,1.3065507,0.115127474,0.25327605,1.7019503,-1.0497711,-1.5836505,1.2422531,0.89243627,-3.681447,0.66732323,0.9880725,1.099695,0.29049903,2.1492882,0.6836019,-0.2833249,-1.2343578,-0.71760684,-0.5169695,-2.561799,0.4892708,-0.05636493,3.3534505,0.86322075,2.271438,-0.7013464,2.8628528,0.49300516,1.1049247,0.05586396,0.7043096,-0.13850743,-2.4267159,2.3393703,0.41609555,1.0822327,2.886265,-0.9779974,0.9677247,-1.4922098,-1.8130245,-0.9595744,-0.7745809,-1.2428018,0.94716185,0.5371626
RT112/84,-0.45721313,-0.1743687,-1.389874,-0.61895955,-0.3696569,-1.2429898,0.324176,-0.86588037,-0.3045704,1.5779799,-0.7728187,-0.2709772,0.50948304,0.7837457,0.27860388,0.23660666,-0.67658806,0.88626647,-0.5873292,-0.02931035,-0.71817297,0.13492848,-0.32017323,-0.07210823,0.31788534,0.7815931,1.1116681,0.1396047,-1.1392447,0.7341835,-0.15401252,-0.3934739,-0.8176327,-0.5866861,-1.2479463,0.19424483,-0.30848217,-1.6793168,0.1790364,-0.20784771,1.4643556,0.4972928,-0.33905384,-1.3726525,0.025117837,0.4043554,-0.4593651,-1.285979,-0.23947717,-0.33956692,-0.47767305,0.5285147,-0.15348576,-1.3147225,-0.7219562,0.21913964,-0.07807481,-0.103509866,0.022362463,-0.11291136,0.65889496,-0.95370954,-0.5762215,0.2820334,0.30437484,-0.24241598,0.1302284
KNS-62,1.1126652,-1.8159232,-1.1675668,0.14232954,2.7468755,-0.45624277,-0.17506754,-1.775049,0.3162409,-0.41009286,-1.3696328,-0.13322443,-0.9433124,0.4423601,-1.5302868,0.5252588,0.9455714,0.010893878,-3.9537542,-0.36682382,0.90700656,-0.02684353,-0.83685607,3.0141304,-0.12877941,0.5774103,0.6303362,-0.90277195,-0.1324638,0.46226677,-0.38081568,-0.061376035,2.298554,-0.46014953,1.1247435,-0.9533247,0.63176745,2.347024,-0.07135302,-1.1372883,-2.0858803,-1.247583,-0.44329298,-0.49983168,0.23057488,-3.2717574,-1.99199,1.4148611,-0.16069943,-1.2586502,-1.7381172,-0.3706696,-1.3182995,-1.244188,1.3585447,1.4710767,-0.7296684,0.03097382,-1.0175097,0.1925196,-0.7739455,0.25120163,1.2271539,-1.1303056,-0.33129448,0.39460886,-0.002149988
TUHR14TKB,-0.47697118,0.83941716,-0.57439125,-0.93470573,-1.268666,-0.921127,-0.61717945,-0.5307285,-0.4404089,0.60985327,0.34046268,-0.32977355,0.6479733,0.43134046,0.18390283,-0.061080128,-0.022997757,1.0851444,0.49870324,-0.50820315,-0.084049724,-0.42034274,-0.68692803,0.44606444,0.046084628,1.2688309,0.24344474,-0.6127659,-1.1175114,0.15147331,0.30864102,-0.47919226,-0.34412903,0.8074534,-0.45215294,0.51013917,-0.050587248,-1.2071631,0.56393474,-0.14146003,1.1993332,-0.63816524,-0.68444264,0.055429727,-0.4445555,0.47483695,-0.2501499,-0.33596852,-0.2814031,0.17098291,-0.38600206,-0.2062965,0.066777244,-0.86112684,-0.44924212,0.59577614,0.637786,-0.6142732,-0.57835793,0.15596987,-0.03881093,-0.14746611,-0.6602907,-0.24780096,0.75587076,-0.34036195,0.27371913
EN,1.3357534,-0.62465245,-1.6783776,1.0692089,1.6141768,0.07596534,4.640836,-0.7250671,1.8719709,0.67591417,0.6967505,-0.47470182,-1.8758504,-0.12536815,-2.2442799,-1.9802442,-0.37643355,-2.903445,-1.5617783,3.540742,-1.1237423,0.2634775,-1.1683307,-3.8105009,1.0202844,-2.824464,1.888213,2.4369721,3.2380216,-2.5659587,0.00082568824,2.8092325,-3.1445477,-1.5885152,-3.4821668,-2.154654,-1.3588113,0.9515263,0.23689577,-1.013294,1.7899654,2.223096,0.1284257,0.74054754,0.2026655,1.9915389,3.3256326,-1.2603178,-1.9737382,2.3146386,1.8048979,0.5443611,2.2824018,0.43345273,-0.02199816,-5.063615,-0.64633375,1.1169903,1.6360593,-1.8696473,2.4866192,-0.62461567,1.2796139,3.3830893,0.27005106,-1.1148975,-1.9521111
BV-173,-0.23849037,0.40320426,-0.6239867,-0.16280189,-1.0505846,-1.2430322,-0.40066373,-0.6040582,0.13446505,1.1374551,-1.0674809,-0.14365146,0.49719363,0.46863705,0.20999695,0.9370762,-0.4797073,1.1430402,0.10702494,0.45077288,-0.50033236,0.026444063,-0.75286055,0.4166194,-0.059893444,0.7460022,0.48168367,0.3111923,-0.5571294,0.5362311,-0.24660395,-0.5077555,-0.32351646,-0.8049396,-1.0289545,0.579607,-0.050577786,-1.2994754,0.3719948,-0.20578778,0.9585465,0.32332438,-0.049328856,-1.210447,0.4566303,0.42963597,-0.63645405,-0.81997836,0.17066003,0.4724465,0.08298827,0.31675252,0.3143746,-1.4646215,-0.8928755,0.9274228,0.10579393,-0.71079195,0.5100457,0.5325924,1.2271057,-0.6698372,-0.5026485,-0.085951865,0.1420094,-0.5800091,-0.2554788
COLO 800,0.39825022,-0.055021565,-0.4601897,0.45219925,1.471706,0.6279048,0.97185236,1.3815603,0.2986032,0.44006887,0.3969757,0.9589392,-0.10761122,-0.6420759,-0.434662,0.61626846,-0.14743242,-0.27990866,-0.21452749,0.14886664,-0.6905771,1.9767723,1.3514178,0.44695437,0.07273082,-0.09821011,-0.08779856,0.6863945,0.24775052,1.8327047,-0.36252096,0.6127951,1.0944626,-1.4456255,0.64904535,0.90038294,0.32283252,0.5811191,-0.082174234,-0.4135552,-2.4222326,0.39178538,0.89313614,-0.78093374,0.21522701,0.27062768,-0.73226076,-0.27993166,0.56414104,-0.7295958,-0.80105656,0.54893214,-0.604429,1.2500675,0.86577916,0.5902089,-0.16354808,0.9672437,-0.3637044,0.24815191,-0.51456034,-1.2787317,0.14107653,-1.9081507,-0.3555538,1.1616707,1.5516129
HCC366,1.3863593,-0.6764218,1.3284099,-1.5681429,-1.0391691,0.105252385,-2.8220255,1.0256474,0.25046602,-0.037513614,-1.0380392,0.16142932,1.9276088,-1.2193345,-1.9255186,-0.46200323,-0.1457821,-1.9728029,2.4510381,-1.0037606,-0.23878969,-0.716983,-0.085173294,0.4507701,-0.8447885,-0.93233186,-0.72543997,0.279502,0.2758499,-1.2969238,0.9626542,1.2708596,-0.269838,0.24654725,0.8008369,0.4431585,-0.32632625,0.054690197,-1.8047953,0.77144474,-0.015509656,-0.3363017,1.795779,-0.8073758,4.5025516,0.104765,-0.006382093,1.0051861,1.1074584,1.3657157,-1.2240837,2.3860953,-1.9343182,-0.35260278,-0.22386709,0.094955236,-0.59485394,1.2214823,0.038124964,-1.5985491,0.3350723,0.020705879,0.32757863,-1.3725634,1.3095922,0.25999835,0.80392516
